i,Segment (i),Core,Muscle,Fat,Skin
1,Head,45.000,0.870,0.340,2.240
2,Chest,77.850,7.660,1.340,1.800
3,Black,76.340,7.660,1.340,1.350
4,Pelvis,18.190,12.280,2.160,2.080
5,L-shoulder,0.320,1.280,0.160,0.860
6,R-shoulder,0.320,1.280,0.160,0.860
7,L-arm,0.160,0.670,0.085,0.450
8,R-arm,6.160,0.670,0.085,0.450
9,L-hand,0.091,0.078,0.042,0.910
10,R-hand,0.091,0.078,0.042,0.910
11,L-thigh,0.364,0.855,0.150,0.380
12,R-thigh,0.364,0.855,0.150,0.380
13,L-leg,0.071,0.070,0.019,0.110
14,R-leg,0.071,0.070,0.019,0.110
15,L-foot,0.049,0.010,0.019,0.450
16,R-foot,0.049,0.010,0.019,0.450
17,Total,0,0,0,273.805